mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__gamma,param_classifier__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.737987518310547,0.4201362448917175,0.14292435646057128,0.009469801491124833,0.1,0.01,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.6413161434095495,0.6464019037815196,0.6343869145613719,0.6288206595037265,0.6374777787504206,0.6376806800013177,0.005977731364417206,10
5.78369722366333,0.833439165134117,0.08156185150146485,0.010569566909794095,0.1,0.01,sigmoid,"{'classifier__C': 0.1, 'classifier__gamma': 0.01, 'classifier__kernel': 'sigmoid'}",0.6235471723186687,0.6352114146983229,0.6212581991521514,0.6156971956784202,0.6268494515232794,0.6245126866741686,0.006467766844786958,12
7.468495321273804,0.7521978290963539,0.17294230461120605,0.016004081292525917,0.1,0.1,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.6347571142121208,0.6431176901211645,0.6358582294581735,0.6121650393817681,0.6383714573755005,0.6328539061097455,0.01073746711803263,11
4.635908746719361,0.7626242481823059,0.0997340202331543,0.016793890483441227,0.1,0.1,sigmoid,"{'classifier__C': 0.1, 'classifier__gamma': 0.1, 'classifier__kernel': 'sigmoid'}",0.6651219457421551,0.6297557174720189,0.6076470648811149,0.6043392099861947,0.5984870566597142,0.6210701989482394,0.02443808283428965,13
9.7279803276062,0.9816703564154153,0.21351022720336915,0.010667206834683753,0.1,0.5,rbf,"{'classifier__C': 0.1, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.33263650824483026,0.3333333333333333,0.3333333333333333,0.3319384011423421,0.3319384011423421,0.3326359954392362,0.0006238326933041563,24
4.346776294708252,0.48720472144642096,0.07942256927490235,0.004658657390541098,0.1,0.5,sigmoid,"{'classifier__C': 0.1, 'classifier__gamma': 0.5, 'classifier__kernel': 'sigmoid'}",0.538540324185581,0.504794791165723,0.523701682722326,0.5388441871871181,0.47689976852363747,0.5165561507568771,0.023418271958407042,17
3.925667667388916,0.3841005619095829,0.1201756477355957,0.006468150005737672,1.0,0.01,rbf,"{'classifier__C': 1, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.7663834876982567,0.7477426220500373,0.7613017126284167,0.7546194455950495,0.7392084620130653,0.753851145996965,0.009642438228815312,2
3.9280566215515136,0.5404350575597744,0.07942013740539551,0.013295503718712581,1.0,0.01,sigmoid,"{'classifier__C': 1, 'classifier__gamma': 0.01, 'classifier__kernel': 'sigmoid'}",0.7201859836999353,0.7070854508336382,0.7127639824014458,0.716299275896558,0.7134827679990927,0.713963492166134,0.004316309963277023,7
6.157245111465454,0.6172352647880964,0.15178279876708983,0.008926867010323183,1.0,0.1,rbf,"{'classifier__C': 1, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.7639329107261711,0.7259000211370875,0.7315643414522657,0.7394816402077256,0.7371798197923822,0.7396117466631265,0.013040110159850151,4
3.6076633453369142,0.42476391432022664,0.07974886894226074,0.011507150758942467,1.0,0.1,sigmoid,"{'classifier__C': 1, 'classifier__gamma': 0.1, 'classifier__kernel': 'sigmoid'}",0.6114100038297393,0.5966527775941339,0.6010760849978909,0.5960164824558869,0.6093325824896858,0.6028975862734673,0.006380211925035059,15
9.871057176589966,0.8458125834241719,0.23027462959289552,0.01583226184289563,1.0,0.5,rbf,"{'classifier__C': 1, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.35720866609641344,0.3658755169444207,0.35831417587184955,0.3426643295534959,0.3485716965104957,0.354526876995335,0.008080983364338651,23
3.9794653415679933,0.45938512805686843,0.08017110824584961,0.006058716822726767,1.0,0.5,sigmoid,"{'classifier__C': 1, 'classifier__gamma': 0.5, 'classifier__kernel': 'sigmoid'}",0.5335839495443646,0.4997599399184919,0.49193544679377404,0.5345868757547426,0.47032712117242703,0.50603866663676,0.02484906659372721,19
3.84102725982666,0.2053135671850697,0.11514172554016114,0.007893746503107733,10.0,0.01,rbf,"{'classifier__C': 10, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.7681492127991695,0.7733745261777909,0.7652801119882774,0.7613160140396243,0.7738427667949371,0.7683925263599598,0.004782233668772578,1
2.3177740573883057,0.3015699906590467,0.06020441055297852,0.007094075110292816,10.0,0.01,sigmoid,"{'classifier__C': 10, 'classifier__gamma': 0.01, 'classifier__kernel': 'sigmoid'}",0.7156614906027547,0.6958566143865045,0.7218599512572528,0.7147168823530321,0.7174613843361208,0.7131112645871329,0.008969589455147208,8
7.191348505020142,0.7009523751841646,0.16347966194152833,0.005011353390085591,10.0,0.1,rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.7451257880191934,0.7275946578109567,0.7252935906248952,0.7463535575646926,0.7281967997979678,0.7345128787635411,0.009225892106157114,6
3.1448152542114256,0.3380275851362669,0.07501163482666015,0.008300062419455677,10.0,0.1,sigmoid,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'sigmoid'}",0.604204201033979,0.5985901484691042,0.5538328290494616,0.5887989886582068,0.5742568742365828,0.5839366082894669,0.01816083188716578,16
